latitude,longitude,datetime,temp,precip,precipprob,precipcover,windspeed,winddir,sunrise,sunset
7.157,81.224,2021-07-01,27,4.623,100,16.67,8.6,206.1,2021-07-01T05:53:04,2021-07-01T18:24:56
7.157,81.224,2021-07-02,26.8,0.614,100,4.17,9.2,329.1,2021-07-02T05:53:18,2021-07-02T18:25:05
7.157,81.224,2021-07-03,26.5,2.636,100,8.33,9.7,34.2,2021-07-03T05:53:32,2021-07-03T18:25:13
7.157,81.224,2021-07-04,26.2,2.882,100,12.5,9,18.3,2021-07-04T05:53:46,2021-07-04T18:25:20
7.157,81.224,2021-07-05,26.7,4.784,100,4.17,7.5,53.3,2021-07-05T05:54:00,2021-07-05T18:25:27
7.157,81.224,2021-07-06,26,0.431,100,12.5,7,131.3,2021-07-06T05:54:14,2021-07-06T18:25:34
7.157,81.224,2021-07-07,26.1,1.02,100,8.33,7.9,290.8,2021-07-07T05:54:28,2021-07-07T18:25:39
7.157,81.224,2021-07-08,26.1,12.899,100,20.83,7.5,242,2021-07-08T05:54:41,2021-07-08T18:25:45
7.157,81.224,2021-07-09,25.9,7.413,100,25,13,255.3,2021-07-09T05:54:54,2021-07-09T18:25:49
7.157,81.224,2021-07-10,25.4,60.98,100,25,23.2,277.1,2021-07-10T05:55:07,2021-07-10T18:25:53
7.157,81.224,2021-07-11,26.1,3.502,100,12.5,18.5,288.5,2021-07-11T05:55:20,2021-07-11T18:25:56
7.157,81.224,2021-07-12,26.7,0.97,100,25,16,278.8,2021-07-12T05:55:33,2021-07-12T18:25:59
7.157,81.224,2021-07-13,27,0,0,0,16.9,287,2021-07-13T05:55:46,2021-07-13T18:26:01
7.157,81.224,2021-07-14,26.5,0.008,100,4.17,14.8,287,2021-07-14T05:55:58,2021-07-14T18:26:02
7.157,81.224,2021-07-15,26.2,0.025,100,4.17,6.9,243,2021-07-15T05:56:10,2021-07-15T18:26:03
7.157,81.224,2021-07-16,26.6,0.636,100,12.5,9.9,320.4,2021-07-16T05:56:21,2021-07-16T18:26:02
