"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-02","0.0",",,S","25.8","H,,S",,,"22.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-03","0.0",",,S","27.4","H,,S","30.5",",,S","21.9",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-04","0.0",",,S","28.4","H,,S","31.1",",,S","20.8",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-05","0.0",",,S","28.7","H,,S","32.1",",,S","18.5",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-06","0.0",",,S","28.0","H,,S","31.0",",,S","21.5",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-07","0.0",",,S","26.9","H,,S","31.5",",,S","20.0",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-08","0.0",",,S","27.7","H,,S","32.0",",,S","21.6",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-09","0.0",",,S","28.4","H,,S","31.9",",,S","21.7",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-10","0.0",",,S","27.5","H,,S","31.3",",,S","22.4",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-11","0.0",",,S","29.3","H,,S","32.0",",,S","22.8",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-12","0.0",",,S","29.0","H,,S","32.3",",,S","23.2",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-13","0.0",",,S","27.8","H,,S","30.8",",,S","22.3",",,S"
"CEM00043441","KURUNEGALA, CE","7.467","80.367","116.0","2019-01-14","0.0",",,S","26.4","H,,S","30.0",",,S","23.4",",,S"
