HCHO_reading,Location,Date
0.0001969834395781,Colombo Proper,2019-01-01
0.0002625522171968,Colombo Proper,2019-01-02
9.852118897938794e-05,Colombo Proper,2019-01-03
0.0002099320518114,Colombo Proper,2019-01-04
0.0001785337298892,Colombo Proper,2019-01-05
0.0001082296700235,Colombo Proper,2019-01-06
9.153156350685353e-05,Colombo Proper,2019-01-08
0.0001205978992853,Colombo Proper,2019-01-09
0.0001297723562983,Colombo Proper,2019-01-10
0.0002239188166801,Colombo Proper,2019-01-11
0.0001569418094178,Colombo Proper,2019-01-12
0.000145285500052,Colombo Proper,2019-01-13
0.0001336291906862,Colombo Proper,2019-01-14
6.374417842690063e-05,Colombo Proper,2019-01-15
0.0001181062250815,Colombo Proper,2019-01-16
0.0002472555222423,Colombo Proper,2019-01-17
0.0001687856216479,Colombo Proper,2019-01-20
0.0002147798144691,Colombo Proper,2019-01-23
0.000234724519641,Colombo Proper,2019-01-24
0.0002820915300341,Colombo Proper,2019-01-25
0.0002507263493088,Colombo Proper,2019-01-26
0.0001973288435314,Colombo Proper,2019-01-27
0.0002555121674807,Colombo Proper,2019-01-28
0.00021343787054085,Colombo Proper,2019-01-29
0.000171363573601,Colombo Proper,2019-01-30
0.0001523802119023,Colombo Proper,2019-01-31
0.0002755728995643,Colombo Proper,2019-02-02
0.0002318846498078,Colombo Proper,2019-02-03
0.0002968667089437,Colombo Proper,2019-02-04
0.0002123314538243,Colombo Proper,2019-02-07
0.0001679798012516,Colombo Proper,2019-02-08
0.0002650819171274,Colombo Proper,2019-02-10
0.0001981789630254,Colombo Proper,2019-02-11
5.8587178500602015e-05,Colombo Proper,2019-02-12
0.0002542805951476,Colombo Proper,2019-02-13
0.00023913590620265,Colombo Proper,2019-02-14
0.0002239912172577,Colombo Proper,2019-02-15
0.0002091493159849,Colombo Proper,2019-02-16
0.0001262731392288,Colombo Proper,2019-02-17
0.0002255146318446,Colombo Proper,2019-02-18
0.0003180786698506,Colombo Proper,2019-02-19
0.0002720768387394,Colombo Proper,2019-02-20
0.0002230429464187,Colombo Proper,2019-02-21
0.0003148949841717,Colombo Proper,2019-02-22
0.0002362989851716,Colombo Proper,2019-02-24
0.0002424675429303,Colombo Proper,2019-02-25
0.000156459748926,Colombo Proper,2019-02-26
0.0001542016842877,Colombo Proper,2019-02-27
0.0002270067709833,Colombo Proper,2019-02-28
0.0002491425232034333,Colombo Proper,2019-03-01
0.00027127827542356667,Colombo Proper,2019-03-02
0.0002934140276437,Colombo Proper,2019-03-03
0.0002222321497741,Colombo Proper,2019-03-04
0.000135851958492,Colombo Proper,2019-03-06
0.0002023807303628,Colombo Proper,2019-03-07
0.0001644238164367,Colombo Proper,2019-03-08
0.0002306923995917,Colombo Proper,2019-03-09
0.0002969609827467,Colombo Proper,2019-03-10
0.0002401309050569,Colombo Proper,2019-03-11
0.0002577451751777,Colombo Proper,2019-03-12
0.0002548286008604,Colombo Proper,2019-03-13
0.0003018449398759,Colombo Proper,2019-03-14
0.0001790542755015,Colombo Proper,2019-03-15
0.0002494769497451,Colombo Proper,2019-03-17
0.00022846799162670002,Colombo Proper,2019-03-18
0.0002074590335083,Colombo Proper,2019-03-19
0.0002559950022304,Colombo Proper,2019-03-20
0.00026248025478445,Colombo Proper,2019-03-21
0.0002689655073385,Colombo Proper,2019-03-22
0.000144005550838,Colombo Proper,2019-03-23
0.0002204458373225,Colombo Proper,2019-03-24
0.0002631266925609,Colombo Proper,2019-03-26
0.0002540006405394,Colombo Proper,2019-03-29
0.0002202186895424,Colombo Proper,2019-03-30
0.0001155774606754,Colombo Proper,2019-03-31
0.0001234932174866,Colombo Proper,2019-04-01
0.0002688230247372,Colombo Proper,2019-04-02
