Date,Location,Precipitation,Temperature,Wind Speed,Elevation
2019-01-01,Colombo Proper,,27.5,14.4,5.0
2019-01-02,Colombo Proper,,25.8,16.6,5.0
2019-01-03,Colombo Proper,,27.1,16.0,5.0
2019-01-04,Colombo Proper,,27.1,16.9,5.0
2019-01-05,Colombo Proper,,27.2,16.8,5.0
2019-01-06,Colombo Proper,,27.4,16.0,5.0
2019-01-07,Colombo Proper,,27.1,12.0,5.0
2019-01-08,Colombo Proper,,27.6,13.7,5.0
2019-01-09,Colombo Proper,,28.3,10.2,5.0
2019-01-10,Colombo Proper,0.3,27.9,10.3,5.0
2019-01-11,Colombo Proper,9.6,27.7,13.4,5.0
2019-01-12,Colombo Proper,0.8,27.7,13.5,5.0
2019-01-13,Colombo Proper,7.6,28.0,13.0,5.0
2019-01-14,Colombo Proper,13.2,27.6,14.9,5.0
2019-01-15,Colombo Proper,1.5,27.5,13.7,5.0
2019-01-16,Colombo Proper,0.7,27.9,16.7,5.0
2019-01-17,Colombo Proper,,26.3,18.6,5.0
2019-01-18,Colombo Proper,,26.1,16.1,5.0
2019-01-19,Colombo Proper,,25.4,16.2,5.0
2019-01-20,Colombo Proper,,25.9,15.1,5.0
2019-01-21,Colombo Proper,,26.8,10.1,5.0
2019-01-22,Colombo Proper,,26.6,12.6,5.0
2019-01-23,Colombo Proper,,26.8,11.4,5.0
2019-01-24,Colombo Proper,,27.8,11.2,5.0
2019-01-25,Colombo Proper,0.1,28.1,10.3,5.0
2019-01-26,Colombo Proper,1.4,28.2,12.1,5.0
2019-01-27,Colombo Proper,0.5,27.6,10.9,5.0
2019-01-28,Colombo Proper,0.3,26.9,14.5,5.0
2019-01-29,Colombo Proper,,27.1,10.0,5.0
2019-01-30,Colombo Proper,,28.1,14.9,5.0
2019-01-31,Colombo Proper,,28.2,9.8,5.0
2019-02-01,Colombo Proper,,28.7,14.2,5.0
2019-02-02,Colombo Proper,0.1,28.0,11.4,5.0
2019-02-03,Colombo Proper,4.8,27.7,9.1,5.0
2019-02-04,Colombo Proper,26.3,26.9,7.3,5.0
2019-02-05,Colombo Proper,70.6,26.8,6.5,5.0
2019-02-06,Colombo Proper,2.3,26.6,7.6,5.0
2019-02-07,Colombo Proper,1.3,27.9,8.4,5.0
2019-02-08,Colombo Proper,17.2,26.2,13.8,5.0
2019-02-09,Colombo Proper,21.6,26.8,14.0,5.0
2019-02-10,Colombo Proper,36.6,27.6,12.0,5.0
2019-02-11,Colombo Proper,,27.9,10.7,5.0
2019-02-12,Colombo Proper,0.4,28.6,14.9,5.0
2019-02-13,Colombo Proper,0.3,29.3,14.7,5.0
2019-02-14,Colombo Proper,0.2,27.1,13.2,5.0
2019-02-15,Colombo Proper,12.4,28.0,8.0,5.0
2019-02-16,Colombo Proper,14.9,27.1,13.1,5.0
2019-02-17,Colombo Proper,7.7,28.2,11.4,5.0
2019-02-18,Colombo Proper,1.8,28.7,10.0,5.0
