Date,Location,Precipitation,Temperature,Wind Speed,Elevation,HCHO_reading
2019-01-01,Colombo Proper,3.8,27.5,14.4,5.0,0.0001969834395781
2019-01-02,Colombo Proper,3.8,26.1,16.6,5.0,0.0002625522171968
2019-01-03,Colombo Proper,3.8,27.1,16.0,5.0,9.852118897938794e-05
2019-01-04,Colombo Proper,3.8,27.1,16.9,5.0,0.0002099320518114
2019-01-05,Colombo Proper,3.8,27.2,16.8,5.0,0.0001785337298892
2019-01-06,Colombo Proper,3.8,27.4,16.0,5.0,0.0001082296700235
2019-01-08,Colombo Proper,3.8,27.6,13.7,5.0,9.153156350685353e-05
2019-01-09,Colombo Proper,3.8,28.3,10.2,5.0,0.0001205978992853
2019-01-10,Colombo Proper,0.3,27.9,10.3,5.0,0.0001297723562983
2019-01-11,Colombo Proper,9.6,27.7,13.4,5.0,0.0002239188166801
2019-01-12,Colombo Proper,0.8,27.7,13.5,5.0,0.0001569418094178
2019-01-13,Colombo Proper,7.6,28.0,13.0,5.0,0.000145285500052
2019-01-14,Colombo Proper,13.2,27.6,14.9,5.0,0.0001336291906862
2019-01-15,Colombo Proper,1.5,27.5,13.7,5.0,6.374417842690063e-05
2019-01-16,Colombo Proper,0.7,27.9,16.7,5.0,0.0001181062250815
2019-01-17,Colombo Proper,3.8,26.3,18.6,5.0,0.0002472555222423
2019-01-20,Colombo Proper,3.8,26.1,15.1,5.0,0.0001687856216479
2019-01-23,Colombo Proper,3.8,26.8,11.4,5.0,0.0002147798144691
2019-01-24,Colombo Proper,3.8,27.8,11.2,5.0,0.000234724519641
2019-01-26,Colombo Proper,1.4,28.2,12.1,5.0,0.0002507263493088
2019-01-27,Colombo Proper,0.5,27.6,10.9,5.0,0.0001973288435314
2019-01-28,Colombo Proper,0.3,26.9,14.5,5.0,0.0002555121674807
2019-01-29,Colombo Proper,3.8,27.1,10.0,5.0,0.0002134378705408
2019-01-30,Colombo Proper,3.8,28.1,14.9,5.0,0.000171363573601
2019-01-31,Colombo Proper,3.8,28.2,9.8,5.0,0.0001523802119023
2019-02-02,Colombo Proper,0.3,28.0,11.4,5.0,0.0002755728995643
2019-02-03,Colombo Proper,4.8,27.7,9.1,5.0,0.0002318846498078
2019-02-07,Colombo Proper,1.3,27.9,8.4,5.0,0.0002123314538243
2019-02-08,Colombo Proper,17.2,26.2,13.8,5.0,0.0001679798012516
2019-02-10,Colombo Proper,36.6,27.6,12.0,5.0,0.0002650819171274
